OC	ari	aur	136314	469726	121175	281874	753162	238956	630561	768227	572123
OC	ari	cal	119670	518042	113098	82256.3	753082	174059	487141	759595	572295
OC	ari	gra	479202	184724	188508	1.07034e+06	752830	866808	1.06655e+06	1.04366e+06	572181
OC	ari	lon	116239	530301	105214	109146	752814	158155	534142	763771	572158
OC	ari	lon_isl	133399	477284	127202	257556	753187	228422	607525	759440	572164
OC	ari	par	189290	234411	256395	627287	752993	527103	605377	685847	572073
OC	ari	red	95149.1	574216	104503	53749.7	753034	93234.3	523224	743612	572308
OC	ari	yellow	100807	548101	116867	51849	753367	125159	483283	737276	572288
OC	aur	cal	147721	212681	164070	82063.3	282217	173913	130818	265752	238943
OC	aur	gra	726302	98412.9	129337	1.07072e+06	281846	866890	1.03988e+06	879005	239032
OC	aur	lon	141577	222229	157337	109138	282016	158195	174048	266238	238959
OC	aur	lon_isl	181995	192469	165612	257531	281965	228532	284286	298412	239111
OC	aur	par	418745	130456	135573	627282	281815	527296	622216	565116	239060
OC	aur	red	127201	272856	121316	53686.4	282093	93207.1	204970	287932	238937
OC	aur	yellow	139552	253435	129415	51584	281853	125037	175512	291926	239001
OC	cal	gra	785089	92239.6	106126	1.07063e+06	82232	866846	1.05675e+06	761010	174036
OC	cal	lon	139808	155499	200569	109144	82160.9	158264	64199.1	21434.9	173986
OC	cal	lon_isl	200308	145821	178816	257511	82140.6	228406	224532	103730	173935
OC	cal	par	468668	115418	119694	627278	82146.8	527152	623047	431018	173887
OC	cal	red	143201	223896	127521	53648.1	82269.6	93176.1	150017	97987.3	173926
OC	cal	yellow	153622	202545	140495	51599.4	82251.2	125040	113899	95439.7	174003
OC	gra	lon	90964.6	799505	99800.9	109139	1.06989e+06	158138	808790	1.06102e+06	866761
OC	gra	lon_isl	105216	743580	114112	257511	1.07028e+06	228542	886884	1.06142e+06	866975
OC	gra	par	162472	502071	182337	627276	1.07013e+06	527136	947110	1.0503e+06	866814
OC	gra	red	82763.1	856308	80894.7	53700.1	1.07024e+06	93249.2	829112	1.07221e+06	866926
OC	gra	yellow	88550.2	830323	87455.4	51606.6	1.07014e+06	125071	794756	1.07121e+06	866857
OC	lon	lon_isl	199943	129765	193193	257544	109130	228443	194077	115962	158291
OC	lon	par	480685	111744	115316	627277	109062	527256	623752	474299	158235
OC	lon	red	148020	213024	127127	53707	109076	93082.8	139683	130028	158098
OC	lon	yellow	160069	193300	138237	51711.7	109173	125058	106777	131093	158334
OC	lon_isl	par	409355	110592	195925	627283	257500	527089	542004	470814	228356
OC	lon_isl	red	134053	269235	120895	53656.9	257536	93266.8	201987	270715	228453
OC	lon_isl	yellow	145303	248713	131046	51640	257599	124980	169512	271826	228407
OC	par	red	98171	532116	97429.6	53606	627281	93214	488072	628045	527225
OC	par	yellow	105636	507809	105304	51787.3	627291	124931	454368	627635	527151
OC	red	yellow	163368	131595	163563	51704.2	53694.5	124998	19639.1	53460.4	93154.7
ari	aur	cal	119753	128321	484653	487052	630804	759760	131016	265668	768371
ari	aur	gra	455447	179892	207033	1.06654e+06	630617	1.04375e+06	1.03946e+06	879207	768063
ari	aur	lon	119908	124024	484218	534177	630394	764352	174080	266186	768449
ari	aur	lon_isl	127604	136547	459772	607418	630987	759122	284238	298684	768010
ari	aur	par	174549	256794	239927	605385	630578	686099	622223	565258	768219
ari	aur	red	120425	144918	463092	523185	630438	743683	205001	287802	768105
ari	aur	yellow	120346	151546	458760	482962	630677	737053	175661	292167	768259
ari	cal	gra	468401	184278	194381	1.06671e+06	486942	1.04407e+06	1.05665e+06	760967	759793
ari	cal	lon	102724	98271.6	568429	534186	486806	764092	64295.2	21474.7	759539
ari	cal	lon_isl	121573	121948	505025	607445	487105	759321	224513	103926	759616
ari	cal	par	182599	256276	238569	605374	486917	686271	623050	431047	759836
ari	cal	red	114225	130150	503488	523138	487143	743733	150120	98032.9	759617
ari	cal	yellow	112249	134881	504066	483102	486978	737273	113904	95367.9	759844
ari	gra	lon	186516	466187	191569	534218	1.06705e+06	764151	808908	1.06196e+06	1.04381e+06
ari	gra	lon_isl	184689	469187	189802	607418	1.06687e+06	759625	886860	1.06185e+06	1.04405e+06
ari	gra	par	159065	516865	175147	605347	1.0665e+06	685994	947085	1.05046e+06	1.04361e+06
ari	gra	red	186966	487014	181315	523350	1.06655e+06	743807	829090	1.07228e+06	1.04399e+06
ari	gra	yellow	184910	491665	180032	482937	1.06655e+06	737045	794559	1.07152e+06	1.04387e+06
ari	lon	lon_isl	111867	116694	530203	607474	533973	759654	194027	115910	764341
ari	lon	par	179146	257275	238864	605385	534083	685939	623764	474394	763774
ari	lon	red	107643	128021	511837	523252	534109	743898	139710	130089	764320
ari	lon	yellow	106819	133903	510075	483112	534165	736716	106816	131069	763801
ari	lon_isl	par	160592	233894	297244	605391	607504	686140	542019	470879	759442
ari	lon_isl	red	127888	143438	464812	523211	607394	743668	201880	270674	759302
ari	lon_isl	yellow	126996	149253	462821	483003	607380	736918	169506	271694	759218
ari	par	red	253961	196210	231237	523193	605384	743598	488042	628059	686009
ari	par	yellow	251973	200928	229657	483258	605393	736914	454470	627639	686027
ari	red	yellow	100018	106725	569927	483270	523325	737205	19782.1	53565.3	743862
aur	cal	gra	734498	121183	104146	1.03928e+06	130814	879078	1.05625e+06	760946	265439
aur	cal	lon	138689	138099	248061	174025	130810	266144	64168.7	21548	265530
aur	cal	lon_isl	182676	149944	209795	284323	130968	298428	224535	103844	265485
aur	cal	par	429735	130213	129373	622217	130657	564852	623056	430985	265316
