scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG8,4600001,4700000,4649054,6467,3019,237.4199,94.2324,0.4317,0.192,0.1264
LG8,4700001,4800000,4752723,5756,2979,90.8177,30.5885,0.4961,0.1221,0.0772
LG8,4800001,4900000,4846901,4971,2825,53.2031,28.474,0.3028,0.0524,0.0342
LG8,4900001,5000000,4951534,7086,3951,76.291,96.0775,-0.1148,-0.0333,-0.0183
LG8,5000001,5100000,5046991,7234,3978,136.0007,63.5475,0.3631,0.089,0.0536
LG8,5100001,5200000,5151468,6809,3899,62.3906,84.651,-0.1514,-0.04,-0.0243
LG8,5200001,5300000,5249266,6707,3791,53.6315,91.9753,-0.2633,-0.0574,-0.0342
LG8,5300001,5400000,5350468,7439,4088,99.7031,50.5052,0.3275,0.078,0.047
LG8,5400001,5500000,5452673,7382,4059,62.8789,85.207,-0.1508,-0.0315,-0.0199
LG8,5500001,5600000,5553956,5883,3107,42.8796,54.291,-0.1174,-0.0242,-0.0157
LG8,5600001,5700000,5646677,7366,3633,89.2116,60.071,0.1952,0.0579,0.0321
LG8,5700001,5800000,5747905,6228,3587,65.8438,41.8802,0.2225,0.0406,0.0241
LG8,5800001,5900000,5854049,6374,3709,163.4284,101.2305,0.235,0.1432,0.0597
LG8,5900001,6000000,5950983,7762,4442,110.5449,71.0241,0.2177,0.0731,0.0399
LG8,6000001,6100000,6052335,8265,4338,99.7826,65.6628,0.2062,0.0481,0.0266
LG8,6100001,6200000,6151515,5925,3048,82.7884,79.9655,0.0173,0.0053,0.0032
LG8,6200001,6300000,6245810,7598,4351,159.7461,79.6576,0.3345,0.1352,0.0705
LG8,6300001,6400000,6353173,6884,3865,102.8073,85.8385,0.09,0.0285,0.0164
LG8,6400001,6500000,6445189,4319,1847,82.3587,29.5046,0.4725,0.1331,0.1034
LG8,6500001,6600000,6558966,6737,3597,103.3724,73.6276,0.168,0.044,0.0268
LG8,6600001,6700000,6642800,7012,3661,83.7839,77.8359,0.0368,0.0095,0.0057
LG8,6700001,6800000,6745715,6595,3209,82.7031,119.2656,-0.181,-0.0823,-0.0455
LG8,6800001,6900000,6854866,6610,3577,99.6602,157.7018,-0.2255,-0.109,-0.0607
LG8,6900001,7000000,6948585,8328,4249,122.5365,83.474,0.1896,0.0457,0.0293
LG8,7000001,7100000,7054315,6690,3209,90.1699,195.6074,-0.3689,-0.1615,-0.0944
LG8,7100001,7200000,7154566,7888,4141,130.2507,78.6204,0.2472,0.0722,0.0404
LG8,7200001,7300000,7246655,7444,3957,117.7181,108.0723,0.0427,0.0125,0.0079
LG8,7300001,7400000,7350633,10863,5074,66.9102,83.5924,-0.1108,-0.0215,-0.0137
LG8,7400001,7500000,7447615,6968,3503,63.7956,41.4883,0.2119,0.041,0.0242
LG8,7500001,7600000,7553401,7781,3908,63.1302,66.6406,-0.0271,-0.0054,-0.0035
LG8,7600001,7700000,7651889,8876,4473,102.3555,72.1367,0.1732,0.0443,0.0252
LG8,7700001,7800000,7760714,7794,4155,97.0046,70.6921,0.1569,0.0429,0.0249
LG8,7800001,7900000,7849419,8699,4792,100.9453,92.0911,0.0459,0.0131,0.0072
LG8,7900001,8000000,7950227,6684,3630,108.7005,98.2214,0.0506,0.0233,0.0101
LG8,8000001,8100000,8054998,8628,4346,101.3926,109.6999,-0.0394,-0.0127,-0.0071
LG8,8100001,8200000,8139879,8528,4314,134.9518,91.1602,0.1937,0.0643,0.04
LG8,8200001,8300000,8249059,7003,3495,114.2578,79.6432,0.1785,0.0744,0.0396
LG8,8300001,8400000,8353460,5628,2605,50.1139,45.8483,0.0445,0.0098,0.006
LG8,8400001,8500000,8455342,6060,3270,94.6849,60.2005,0.2226,0.0949,0.0478
LG8,8500001,8600000,8553007,6422,3266,64.6712,84.5879,-0.1334,-0.0487,-0.0267
LG8,8600001,8700000,8657755,7789,4051,125.2734,132.4349,-0.0278,-0.0133,-0.0061
LG8,8700001,8800000,8758435,8188,4099,143.8952,42.7493,0.5419,0.1859,0.1119
LG8,8800001,8900000,8846920,10177,5036,120.9303,126.9199,-0.0242,-0.0077,-0.0045
LG8,8900001,9000000,8947806,9382,4993,128.6087,169.0306,-0.1358,-0.0492,-0.03
LG8,9000001,9100000,9054146,9793,4668,60.4089,98.1693,-0.2381,-0.0483,-0.0281
LG8,9100001,9200000,9149729,9618,3986,52.6113,109.0957,-0.3493,-0.1021,-0.0548
LG8,9200001,9300000,9250657,11512,6050,118.8255,134.7057,-0.0626,-0.0182,-0.0095
LG8,9300001,9400000,9350447,7389,3589,62.4603,93.9811,-0.2015,-0.061,-0.0321
LG8,9400001,9500000,9448235,8239,3673,89.6921,73.6139,0.0985,0.0242,0.0141
LG8,9500001,9600000,9557016,8375,3859,62.9238,63.2259,-0.0024,-0.0005,-0.0003
LG8,9600001,9700000,9636490,3584,1482,28.3014,23.3535,0.0958,0.0126,0.0099
LG8,9700001,9800000,9755786,8151,3591,76.9557,66.987,0.0693,0.0162,0.0111
LG8,9800001,9900000,9853989,8779,4271,164.6439,52.3991,0.5172,0.2508,0.1156
LG8,9900001,10000000,9950835,6340,3181,126.6543,51.4772,0.422,0.1851,0.075
LG8,10000001,10100000,10040857,6898,3090,72.8027,77.1361,-0.0289,-0.0082,-0.0053
LG8,10100001,10200000,10146229,7933,4443,212.1836,137.9909,0.2119,0.0995,0.0522
LG8,10200001,10300000,10251218,9644,4965,202.1504,163.0879,0.107,0.0575,0.0352
LG8,10300001,10400000,10356402,4557,2282,129.1654,63.9258,0.3379,0.2991,0.1527
LG8,10400001,10500000,10451709,7781,3623,104.1816,120.791,-0.0738,-0.0448,-0.0258
LG8,10500001,10600000,10554957,7562,3816,164.901,66.3438,0.4262,0.1732,0.0913
LG8,10600001,10700000,10649524,9862,5431,161.1732,111.0378,0.1842,0.0915,0.0404
LG8,10700001,10800000,10749480,10258,5374,213.5977,100.5299,0.3599,0.1401,0.0747
LG8,10800001,10900000,10845790,8961,4851,100.571,62.946,0.2301,0.0568,0.0329
LG8,10900001,11000000,10954921,5853,3093,37.1706,97.306,-0.4472,-0.1096,-0.0654
LG8,11000001,11100000,11050644,9310,4593,90.2546,92.6973,-0.0134,-0.0031,-0.0019
LG8,11100001,11200000,11156381,6430,3489,84.5397,108.248,-0.123,-0.0366,-0.0221
LG8,11200001,11300000,11253996,7206,3576,99.8249,50.7832,0.3256,0.0915,0.0538
LG8,11300001,11400000,11351996,8072,4180,136.3001,77.2376,0.2766,0.0922,0.0515
LG8,11400001,11500000,11446036,7061,3432,139.8079,56.1309,0.4271,0.1308,0.0769
LG8,11500001,11600000,11547320,7481,3884,179.7227,88.7331,0.3389,0.1666,0.0866
LG8,11600001,11700000,11654576,6638,2905,87.4427,24.599,0.5609,0.1722,0.0533
LG8,11700001,11800000,11745609,6102,3357,149.6836,47.5326,0.518,0.1661,0.0941
LG8,11800001,11900000,11848466,7948,4388,136.0143,79.5924,0.2617,0.0692,0.0422
LG8,11900001,12000000,11948376,7532,4041,69.0352,87.181,-0.1162,-0.0259,-0.0149
LG8,12000001,12100000,12048999,7537,4145,77.4499,81.5853,-0.026,-0.0047,-0.0031
LG8,12100001,12200000,12145822,7104,3811,149.306,87.1966,0.2626,0.0847,0.0524
LG8,12200001,12300000,12251308,6698,3530,45.6549,63.332,-0.1622,-0.027,-0.0167
LG8,12300001,12400000,12351932,6493,3353,77.1986,58.1048,0.1411,0.036,0.0213
LG8,12400001,12500000,12452680,7762,4339,209.5189,155.0449,0.1494,0.0653,0.0382
LG8,12500001,12600000,12550435,7280,4017,253.0977,59.9779,0.6168,0.2744,0.1528
LG8,12600001,12700000,12651084,7343,4212,81.5514,36.0879,0.3865,0.0739,0.0464
LG8,12700001,12800000,12750541,8179,4574,68.2005,99.7422,-0.1878,-0.0505,-0.0275
LG8,12800001,12900000,12843630,5422,3180,42.1647,112.8678,-0.4561,-0.234,-0.1156
LG8,12900001,13000000,12952957,6678,3899,124.1582,80.8092,0.2115,0.0723,0.0436
LG8,13000001,13100000,13045319,5762,2665,81.5007,63.9642,0.1206,0.0358,0.0236
LG8,13100001,13200000,13150016,7210,3921,66.3874,48.377,0.1569,0.0238,0.0159
LG8,13200001,13300000,13247475,6794,3892,57.7865,60.3073,-0.0213,-0.0041,-0.0025
LG8,13300001,13400000,13350685,6928,3745,33.8587,38.666,-0.0663,-0.0088,-0.0052
LG8,13400001,13500000,13451022,7131,3956,50.5195,131.9206,-0.4462,-0.1142,-0.0691
LG8,13500001,13600000,13544763,5624,3153,52.7246,43.4954,0.0959,0.0231,0.0127
LG8,13600001,13700000,13649961,5626,3115,27.1745,54.5443,-0.3349,-0.0471,-0.0311
LG8,13700001,13800000,13749910,6851,3495,62.4303,57.2533,0.0433,0.0093,0.0062
LG8,13800001,13900000,13848571,6676,3822,75.265,47.8171,0.223,0.0552,0.0331
LG8,13900001,14000000,13950575,6415,3576,58.237,47.862,0.0978,0.0174,0.0102
LG8,14000001,14100000,14049833,6825,4113,102.4375,44.0885,0.3982,0.1123,0.0639
LG8,14100001,14200000,14150068,7050,4018,91.4238,32.1895,0.4792,0.1048,0.0646
LG8,14200001,14300000,14251328,6195,3394,35.0651,35.4766,-0.0058,-0.0008,-0.0005
LG8,14300001,14400000,14349434,6823,3700,44.569,38.3971,0.0744,0.0104,0.0065
LG8,14400001,14500000,14448607,6859,3724,46.903,52.7259,-0.0584,-0.0084,-0.0052
LG8,14500001,14600000,14550165,5868,3271,28.5853,34.0697,-0.0875,-0.0101,-0.006
LG8,14600001,14700000,14649055,6434,3353,53.3223,36.9889,0.1809,0.0244,0.0157
LG8,14700001,14800000,14753472,6657,3564,41.3691,77.6139,-0.3046,-0.0645,-0.0368
LG8,14800001,14900000,14847986,6692,3474,74.6992,34.4492,0.3688,0.0648,0.0384
LG8,14900001,15000000,14948202,6006,3072,60.2168,43.0918,0.1658,0.0322,0.021
